character,codepoint,reason
.,U+002E,empty-centerline
:,U+003A,empty-centerline
;,U+003B,source-component-loss
⺉,U+2E89,source-font-missing
⺌,U+2E8C,source-font-missing
⺍,U+2E8D,source-font-missing
⺕,U+2E95,source-font-missing
⺗,U+2E97,source-font-missing
⺡,U+2EA1,source-font-missing
⺢,U+2EA2,source-font-missing
⺤,U+2EA4,source-font-missing
⺦,U+2EA6,source-font-missing
⺨,U+2EA8,source-font-missing
⺭,U+2EAD,source-font-missing
⻃,U+2EC3,source-font-missing
⻌,U+2ECC,source-font-missing
⻏,U+2ECF,source-font-missing
⻖,U+2ED6,source-font-missing
ゕ,U+3095,source-font-missing
ゖ,U+3096,source-font-missing
・,U+30FB,empty-centerline
㐬,U+342C,source-font-missing
㓁,U+34C1,source-font-missing
㔾,U+353E,source-font-missing
亻,U+4EBB,source-font-missing
伐,U+4F10,source-component-loss
俱,U+4FF1,source-font-missing
優,U+512A,source-component-loss
关,U+5173,source-font-missing
刂,U+5202,source-font-missing
剝,U+525D,source-font-missing
吞,U+541E,source-font-missing
喻,U+55BB,source-font-missing
噓,U+5653,source-font-missing
圣,U+5723,source-font-missing
埵,U+57F5,source-font-missing
埶,U+57F6,source-font-missing
塡,U+5861,source-font-missing
复,U+590D,source-font-missing
尃,U+5C03,source-font-missing
彐,U+5F50,source-font-missing
忄,U+5FC4,source-font-missing
戠,U+6220,source-font-missing
扌,U+624C,source-font-missing
摑,U+6451,source-font-missing
斿,U+65BF,source-font-missing
桼,U+687C,source-font-missing
氵,U+6C35,source-font-missing
氺,U+6C3A,source-font-missing
瀆,U+7006,source-font-missing
灬,U+706C,source-font-missing
焰,U+7130,source-font-missing
犭,U+72AD,source-font-missing
畐,U+7550,source-font-missing
疒,U+7592,source-font-missing
礻,U+793B,source-font-missing
禱,U+79B1,source-font-missing
禸,U+79B8,source-font-missing
离,U+79BB,source-font-missing
簞,U+7C1E,source-font-missing
繡,U+7E61,source-font-missing
繫,U+7E6B,source-font-missing
罒,U+7F52,source-font-missing
罣,U+7F63,source-font-missing
耂,U+8002,source-font-missing
艹,U+8279,source-font-missing
萊,U+840A,source-font-missing
蔣,U+8523,source-font-missing
蟬,U+87EC,source-font-missing
衤,U+8864,source-font-missing
辶,U+8FB6,source-font-missing
醬,U+91AC,source-font-missing
阝,U+961D,source-font-missing
雩,U+96E9,source-font-missing
頰,U+9830,source-font-missing
顚,U+985A,source-font-missing
飠,U+98E0,source-font-missing
鷗,U+9DD7,source-font-missing
黃,U+9EC3,source-font-missing
冷,U+F92E,source-font-missing
令,U+F9A8,source-font-missing
嶺,U+F9AB,source-font-missing
玲,U+F9AD,source-font-missing
羚,U+F9AF,source-font-missing
聆,U+F9B0,source-font-missing
鈴,U+F9B1,source-font-missing
零,U+F9B2,source-font-missing
領,U+F9B4,source-font-missing
𠂊,U+2008A,source-font-missing
𠂤,U+200A4,source-font-missing
𠆢,U+201A2,source-font-missing
𠮟,U+20B9F,source-font-missing
𦥑,U+26951,source-font-missing
𧒑,U+27491,source-font-missing
